orthography,lx_entries,sn_max,ps_1,gl_1,de_1_50
errker-errkeraylenke,errker-errkeraylenke,2,vt.,NA,"clean something by shaving, scratching, skinning i..."
errker-errkere,errker-errkere,NA,pv.,NA,Goes before some verbs to show that the action is ...
errkere,"errkere |2, errkere |1",NA,n.,NA,"side, along the side"
errkerlerrk-errkerlerrke,errkerlerrk-errkerlerrke,NA,n.,NA,"raggedy, rubbishy, not in good condition"
errkerlerrke,errkerlerrke,NA,n.,NA,"sparse, thin, patchy, bare, weak, not much left"
errkerrkewenke,errkerrkewenke,NA,vt.,NA,"pierce, press against"
errkert-errkerte,errkert-errkerte,NA,n.,NA,"bent over, bent back, jutting out"
errkertatye,errkertatye,NA,n.,dried dogwood seed,cooked or dried seeds of the dogwood tree <em>awet...
errketnhenke,errketnhenke,NA,vt.,NA,turn things over to look for something
errkewarrenke,errkewarrenke,NA,vt.,NA,"give things out to just one person, give things ou..."
errkwalarre,Errkwalarre,NA,n.,NA,place around Taylor Crossing
errkwale,errkwale,2,n.,NA,feather-top spinifex
errkwapenke,errkwapenke,NA,vi.,busy,"work, be busy, occupied with something"
errkwe,"errkwe |1, errkwe |2",NA,n.,small coolamon,small coolamon used for grinding seeds into and la...
errkweng-errkwenge,errkweng-errkwenge,NA,n.,NA,towel
errkwengele,errkwengele,NA,pv.,NA,for company. Goes before certain verbs to show tha...
errkwenke,errkwenke,3,vt.,clean something,"clean something, rinse something out to clean it"
errkwennge,errkwennge,NA,n.,desert truffle,"native truffle, desert truffle"
errkwentye,errkwentye,NA,NA,NA,policeman
errkwer-errkwere,"errkwer-errkwere |1, errkwer-errkwere |2",2,n.,NA,sticky
errkwerele,errkwerele,NA,n.,hot,hot. Used to describe weather and your own tempera...
errkweremp-errkwerele,errkweremp-errkwerele,NA,n.,NA,very hot weather or things
errkwerr-errkwerre,errkwerr-errkwerre,NA,n.,NA,wrist bone
errkwerrentye,errkwerrentye,NA,n.,NA,"holding someone else's arms or hands, arm in arm o..."
errkwetethe,errkwetethe,NA,n.,speech impediment,"speech impediment, someone who cannot say or prono..."
errmalarenge,Errmalarenge,NA,n.,NA,place on Jarra-Jarra country
errmale,errmale,NA,n.,firesaw,"firesaw, sticks used for making fire"
errmetyine,errmetyine,NA,n.,dust,"dust, dust cloud"
errngerneye,errngerneye,NA,n.,lively,"lively, happy, enthusiastic, chirpy, in a good moo..."
errngerrnge,errngerrnge,3,n.,NA,"touchy, sensitive, untouchable, too sore to touch,..."
errngw,Errngw,NA,n.,NA,soakage on Taylor Creek
errngwarrenke,errngwarrenke,NA,vi.,NA,melt
errngwaylenke,errngwaylenke,NA,vt.,NA,melt something
errngwe,errngwe,2,n.,dough,"dough, sloppy mixture made from seeds and water"
errpalerrpetnhenke,errpalerrpetnhenke,NA,vt.,NA,rub chest against someone or something. This is do...
errpanenke,errpanenke,NA,vi.,NA,"miss out on something for a particular reason, ski..."
errpangaye,errpangaye,NA,n.,NA,old dark yam from the previous season
errpapenke,errpapenke,NA,vi.,NA,"be unsuccessful when out hunting for meat, go out ..."
errparte,errparte,NA,n.,NA,"piebald, spotted"
errpaty-errpatye,errpaty-errpatye,3,n.,useless thing,"useless things, rubbish things, broken things"
errpatye,errpatye,3,n.,useless,"bad, useless, broken, no good, poor quality, awful..."
errpatye tyampe,errpatye tyampe,NA,n.,NA,"old, wrecked, bad body part"
errpatyelayethe,errpatyelayethe,2,adv.,NA,"in a bad way, in bad shape"
errpe,"errpe, Errpe",NA,n.,NA,knee
errpel-arenke,errpel-arenke,NA,vt.,NA,have a feeling about something
errpeltharrenke,errpeltharrenke,3,vi.,NA,tell someone that they are not going to get anythi...
errpelthe,errpelthe,NA,n.,NA,tough person; someone who faces up to things
errpenke,errpenke,2,vt.,submerge,"submerge, put in water, go through water"
errpenyere,errpenyere,NA,n.,NA,"sandhill grevillea, rattlepod grevillea"
errpere,errpere,NA,NA,NA,crack in ground made by a swollen root underneath
errpernpe,errpernpe,NA,n.,NA,"having bad luck hunting, unable to find or kill th..."
errpeyern-alpenke,errpeyern-alpenke,NA,vi.,NA,"travel along wet ground, travel through the rain"
errpwerl-errpwerle,errpwerl-errpwerle,NA,n.,NA,"darkish, blackish"
errpwerlarrenke,errpwerlarrenke,NA,vi.,NA,"become black, go dark"
errpwerle,errpwerle,2,n.,NA,"black, dark"
errpwerte,errpwerte,NA,n.,NA,"shaggy, dirty"
errthwakake,Errthwakake,NA,n.,NA,soakage on Taylor Creek
errthwe,errthwe,2,n.,dirt,"dirt, grit, lump of earth, mud."
errtyartakake,errtyartakake,3,n.,NA,newborn baby boy
errtyarte,errtyarte,2,n.,NA,spear for killing meat
errtywalth-errtywalthe,errtywalth-errtywalthe,NA,n.,NA,"someone who thinks they're good, a show-off, conce..."
errtywalthe,errtywalthe,NA,n.,NA,"a liar, a lie"
errtywarr-artntwenke,errtywarr-artntwenke,NA,vt.,NA,tell lies
errtywarrenke,errtywarrenke,3,vi.,fib,"lie about something, pretend, fib"
errtywengepenke,errtywengepenke,3,vt.,trick someone,"trick someone, joke, pretend to do something"
errtywenye,errtywenye,2,n.,NA,"splotchy, blotchy"
errtywerl-errtywerle,errtywerl-errtywerle,NA,n.,NA,Western gergone
errtywerle,errtywerle,NA,n.,twigs,"twigs, bushes used as a broom, thicket, leafy bran..."
errtywerne,errtywerne,2,n.,NA,"teeth, tooth"
errwake,errwake,2,pr.,NA,you mob. Used where the two people are in the same...
errwampenke,errwampenke,2,vi.,hot,"feel hot, burn"
errwangerre,errwangerre,NA,n.,NA,"a joke, fun, a tease, jest. This is done with peop..."
errwangerrelinenke,errwangerrelinenke,NA,vt.,NA,"make fun of someone, tease someone in jest, make f..."
errwangke,errwangke,2,pr.,NA,you mob. Used where the two people are in the same...
errwanthe,errwanthe,3,pr.,2plOG,you mob. Used where the two people are in differen...
errwantyenke,errwantyenke,NA,vi.,NA,go to a place after you know someone has left; wai...
errware,errware,NA,n.,NA,voice
errwarenke,errwarenke,2,vt.,pick on,pick on someone; say nasty things to someone
errwatenke,errwatenke,2,vt.,NA,"step on something, press down on something, put pr..."
errwekenye,errwekenye,NA,n.,NA,troublemaker
errwelarlarrenke,errwelarlarrenke,2,vi.,rise,"get higher, rise, go up"
errwelaylenke,errwelaylenke,NA,vt.,NA,"lift something up high, raise something"
errwele,errwele,4,n.,above,"up, high, tall"
errwelenge,errwelenge,4,n.,orphan,"above, on top"
errwelentye,Errwelentye,NA,n.,NA,place in Arlekwarre country
errweltye,"errweltye, Errweltye",2,n.,NA,small sticks
errwem-errweme,errwem-errweme,2,n.,NA,"toddler, baby at walking stage or just starting to..."
errwempaltye,errwempaltye,NA,n.,NA,thick grass land
errwempere,errwempere,NA,n.,NA,"lance, fighting spear, shovel-nosed spear"
errweng-errwenge,errweng-errwenge,NA,n.,NA,"fussy, fussy person"
errwentere,errwentere,NA,n.,NA,man who is about to fight. Traditional way for men...
errwenye,errwenye,3,n.,down,"soft feathers, down"
errwenyenk-errwenyenke,errwenyenk-errwenyenke,NA,n.,NA,country where there are lots of gidgee trees
errwenyenkamerne,Errwenyenkamerne,NA,n.,NA,soakage on creek south of Ankweleyelengkwe
errwenyenke,errwenyenke,NA,n.,NA,"gidgee tree, Georgina gidgee"
errwepere,errwepere,NA,n.,NA,thick bush
errweperre atenke,errweperre atenke,NA,vt.,NA,clean seeds by stepping on them. This is how grass...
errweperte,errweperte,2,n.,withered,"withered, limp or unhealthy hair or plants"
errwerarrenke,errwerarrenke,NA,vi.,NA,"turn off, branch off, change direction"
errwere,errwere,NA,kin.,NA,a person's father who is also my son-in-law. A wom...
errwerinenke,errwerinenke,NA,vt.,NA,"direct someone the other way, the right way, tell ..."
errwewak-errwewake,errwewak-errwewake,NA,pr.,NA,all of you
errwewake,errwewake,4,pr.,2plSMOG,you mob. This pronoun is used when a type I (trans...
errwewakeyenge,errwewakeyenge,1,pr.,NA,"your, yours, belonging to you lot (including the p..."
errwewangk-errwewangke,errwewangk-errwewangke,NA,pr.,NA,all of you
errwewangke,errwewangke,4,pr.,2pl.SMSG,you mob. This pronoun is used when a type I (trans...
errwewangkeyenge,errwewangkeyenge,NA,pr.,NA,"your, yours, belonging to you lot. Used where the ..."
errwewanth-errwewanthe,errwewanth-errwewanthe,NA,pr.,NA,all of you
errwewanthe,errwewanthe,5,pr.,2plOM,you mob. This pronoun is used when a type I (trans...
errwewantheyenge,errwewantheyenge,1,pr.,NA,"your, yours, belonging to you lot. Used where the ..."
errwewenhake,errwewenhake,5,pr.,NA,"yourselves (more than two people); on your own, in..."
errwewenhanthe,errwewenhanthe,5,pr.,NA,"yourselves (more than two people); on your own, in..."
errweyenenke,errweyenenke,NA,vi.,NA,"anxious, nervous, jumpy"
ertnkwenke,ertnkwenke,3,vt.,NA,"decorate, put on ceremonial objects"
ertnngwe,ertnngwe,NA,n.,pile of dirt,pile of dirt left after digging
ertnterarrenke,ertnterarrenke,NA,vi.,run off,"run off in a hurry, piss off, leave quickly"
ertntere,ertntere,NA,n.,greedy,"greedy, selfish"
ertntwenke,ertntwenke,2,vt.,push,push
ertntwerakwenke,ertntwerakwenke,NA,vt.,cook (emu),cook. Special word used for certain kinds of food ...
ertntwerarrenke,ertntwerarrenke,2,vt.,NA,"cook, roast (emu or bush turkey). These meats are ..."
ertntwere,"ertntwere |1, ertntwere |2",NA,n.,NA,hot stone that is put in an emu to help it cook. H...
ertntwerelhaylenke,ertntwerelhaylenke,NA,vt.,NA,"cook, roast (emu and bush turkey). This is a speci..."
ertntwerwenenke,ertntwerwenenke,NA,vt.,NA,"shove, push, tap someone, nudge with elbows, tug"
ertnwanthe,ertnwanthe,NA,n.,NA,thick mulga scrub
ertnwareye,Ertnwareye,NA,n.,NA,place north of Murray Downs
ertnwe,ertnwe,NA,n.,large coolamon,"large wooden dish, coolamon. A smaller coolamon ca..."
ertnwelp-ertnwenke,ertnwelp-ertnwenke,NA,vi.,NA,"dance going in a particular direction, dance going..."
ertnweng-ertnwenge,ertnweng-ertnwenge,NA,n.,NA,female dancers
ertnwenke,ertnwenke,NA,vi.,NA,"dance (of women, boys and girls). When men dance t..."
ertnwentenke,ertnwentenke,2,vt.,NA,"knock someone back, say 'no' to someone"
ertnwethe,ertnwethe,NA,n.,NA,"elbow, upper arm"
ertwampenke,ertwampenke,NA,vi.,NA,(time) go by
ertwanngarrenke,ertwanngarrenke,NA,vi.,NA,build a dam or bank to keep water out
ertwarathenke,ertwarathenke,NA,vt.,NA,"look hard at something, stare"
ertwathel-athel-arrenke,ertwathel-athel-arrenke,NA,vt.,NA,knock things while going along
ertwathelp-athenke,ertwathelp-athenke,2,vt.,NA,knock something while going along
ertwathenke,ertwathenke,3,vt.,NA,knock something down or over
ertwatheyern-alpenke,ertwatheyern-alpenke,NA,vt.,NA,knock things while coming this way
ertwe,ertwe,NA,n.,NA,"wet ground, damp soil"
ertwelhaylenke,ertwelhaylenke,2,vt.,NA,"bring, take or get something or someone down"
ertwelp-ertwenke,ertwelp-ertwenke,NA,vi.,NA,"go down, go downhill"
ertwen-ertwene,ertwen-ertwene,NA,n.,NA,Bagot's ant
ertwenke,ertwenke,2,vi.,descend,"get out, get down, get off, dismount"
ertwep-ertwepe,ertwep-ertwepe,3,"adv., n.",NA,Goes with verbs to show that the action is done in...
ertwepakenke,ertwepakenke,NA,vt.,NA,"take a detour, go the long way"
ertwepe,ertwepe,NA,pv.,NA,Goes before a verb to show that the person does th...
ertwer-aytenke,ertwer-aytenke,NA,vi.,NA,"get off, get out"
ertwey-alpenke,ertwey-alpenke,2,vi.,NA,arrive back and get off
ertweyern-alpenke,ertweyern-alpenke,2,vi.,NA,come back somewhere and get off. Go towards the pe...
erwe,erwe,NA,n.,NA,handle of a wooden shield
erwete,erwete,NA,n.,NA,"grey kangaroo, 'bluey-bluey'"
etak-etake,etak-etake,NA,adv.,NA,"careful, carefully"
etarrenke,etarrenke,3,vi.,think,think about something; ponder
etarretnyenke,etarretnyenke,NA,vt.,NA,think about something after you've started
ete,ete,NA,n.,NA,"side of throat, lump on the side of throat"
etelarenke,etelarenke,5,vt.,NA,"know something, understand"
etelepwenke,etelepwenke,4,vt.,NA,"pinch someone for fun, squeeze"
etenke,etenke,2,vt.,cut_up,cut something up
etepenhe,etepenhe,NA,n.,NA,traditional hairstring armband worn by men
etepetarrenke,etepetarrenke,NA,vi.,homesick and want to go,want to leave because you are sad or homesick
etethekenpe,etethekenpe,NA,n.,NA,lots of things or people that are still alive
ethwarre,ethwarre,NA,n.,NA,smell of fat
ethwe,ethwe,3,n.,NA,"poison, something harmful, venom"
ethwenke,ethwenke,2,vt.,NA,send
etne,etne,2,n.,NA,name
etnenke,etnenke,NA,vt.,NA,"have sex, copulate"
etnewenke,etnewenke,NA,vt.,NA,"call something by its proper name, tell your relat..."
etneyarre,etneyarre,NA,n.,NA,young girl
etnhenke,etnhenke,4,"vi., vt.",NA,dance a ceremony (of men). When women and children...
etnkelp-etnkenke,etnkelp-etnkenke,NA,vi.,NA,get itchy
etnkenke,etnkenke,NA,vi.,NA,get itchy
etnkwele,etnkwele,NA,n.,black kite,black kite
etnkwelth-etnkwelthe,etnkwelth-etnkwelthe,NA,n.,NA,lots of long things
etnkwelthe,etnkwelthe,2,n.,long,long
etnkwelthelaythe,etnkwelthelaythe,NA,n.,NA,"longways, vertically"
etnkwelthitarre,etnkwelthitarre,2,n.,NA,long
etnkwerre,etnkwerre,2,n.,NA,"snot, phlegm"
etnmernte,etnmernte,NA,n.,NA,shallow hole where kangaroos sleep
etnngeny-etnngenye,etnngeny-etnngenye,NA,n.,NA,"good hunter, successful at hunting"
etnngenye,etnngenye,NA,n.,champion,"champion, talented; someone who is good at somethi..."
etnpelp-etnpenke,etnpelp-etnpenke,2,vi.,NA,cover something up
etnpenhe,etnpenhe,NA,n.,NA,leftover food
etnpenke,etnpenke,5,vt.,keep quiet,"cover, bury, cover up"
etnperte,etnperte,NA,n.,NA,"widow, widower"
etnpewene-etnpewene,etnpewene-etnpewene,NA,n.,NA,blanket of your son-in-law (said by a woman).
etnpewenke,etnpewenke,2,vt.,NA,"mix in, crush, thresh (of seeds)"
etntarenke,etntarenke,NA,vt.,let,"let something get away, let it escape"
etntel-etntele,etntel-etntele,3,n.,outspoken,"confident, outspoken, self-assured"
etntete,etntete,2,n.,stump,"trunk, stump, base of tree or other plants."
etnteyarenye,etnteyarenye,2,n.,NA,echidna
etnteye,etnteye,3,n.,NA,cave
etnthe,etnthe,NA,n.,NA,flower that has been emptied of nectar
etntyarenge,Etntyarenge,NA,n.,NA,place near Barrow Creek
etntyarrenke,etntyarrenke,NA,vi.,NA,"go across, go past"
etntyarrpe,etntyarrpe,NA,n.,NA,straight across
etntyaytenke,etntyaytenke,2,vi.,NA,build up (of clouds before a storm)
etntyerewenke,etntyerewenke,NA,vt.,spin hairstring,spin hair into hairstring
etnwerrengayte,etnwerrengayte,NA,n.,NA,edible grub from <em>wetyenye</em> emu bush
etnwerrenge,etnwerrenge,NA,NA,NA,emu bush
etnweye,"Etnweye, etnweye",NA,n.,NA,place south of Jarra-Jarra
etnwint-etnwinte,etnwint-etnwinte,NA,n.,NA,type of snake.
etnwinte,etnwinte,2,n.,NA,"spear wattle, mulyati"
etnyel-alpenke,etnyel-alpenke,NA,vt.,NA,give something to someone and then go back
etnyenenarrenke,etnyenenarrenke,NA,vt.,NA,go along giving things out
etnyenke,etnyenke,2,vt.,NA,give
etnyey-aytnenke,etnyey-aytnenke,NA,vt.,NA,go and hand things out and come back many times
etweke,etweke,NA,adv.,lively,"lively, happy, enthusiastic, chirpy, in a good moo..."
etwengertaylenke,etwengertaylenke,2,vt.,NA,know about things from reading the signs in the bu...
etyenke,etyenke,3,"vi., vt.",dangle,"hang, dangle"
eyewe,Eyewe,NA,n.,NA,rockhole in Kwerrkepentye area
id,id,NA,vi.,NA,fall to the ground
ikanenke,ikanenke,NA,vi.,avoid (relatives),observe social rules associated with respect of pa...
ikarle,ikarle,2,n.,NA,crab
ike,ike,2,n.,crust,"crust, shell, hard case, empty cocoon, shed skin; ..."
ikelh-ikelhe,ikelh-ikelhe,NA,n.,NA,"lumps of hard, matted hair"
ikelhe,ikelhe,4,n.,NA,wad or plug of something such as tobacco
ikemike,ikemike,2,n.,NA,"restricted, private"
ikere,ikere,NA,n.,NA,"clay, dried up soakage, soakage with only clay in ..."
ikerrentye,ikerrentye,2,n.,taboo,the appropriate behaviour of people who are in an ...
ikeye,ikeye,NA,n.,NA,empty seedpod
ikngethe,ikngethe,4,n.,itchy grub,"itchy grub, processionary caterpillar"
ikngethelewenke,ikngethelewenke,2,vt.,NA,brush against you (such as a person or spider web)...
ikngethetnkenke,ikngethetnkenke,NA,vi.,NA,"get a rash, feel itchy, get small lumps on your sk..."
ikwarre,ikwarre,2,n.,NA,nocturnal desert skink
ikwe,ikwe,5,n.,skin name,"skin name, subsection name (general term)"
ikwelaytnenke,ikwelaytnenke,NA,vi.,get sulky,get sulky or upset because someone got something t...
ikwele,ikwele,NA,n.,sulky,"sulky, withdrawn, offended, upset, wild, unwilling..."
ikwintenge,ikwintenge,NA,n.,NA,"smelly breath, smelly person"
ilale-rntwenke,ilale-rntwenke,2,vt.,twist,twist something
ilalthatweng-atwenge,ilalthatweng-atwenge,NA,n.,NA,pallid cuckoo
ilalthe,ilalthe,NA,n.,NA,march fly
ilanayte,ilanayte,2,n.,NA,"blue wattle, leather-leaved colony wattle"
ilante,ilante,NA,n.,NA,round circle made from grass to carry water contai...
ilante entweyane,ilante entweyane,NA,vi.,NA,stacked up
ilatenke,ilatenke,NA,vt.,trip,"trip someone up, trip someone over"
ilateye,ilateye,NA,n.,NA,wooden hook that is used to pull out food such us ...
ilatnhenke,ilatnhenke,NA,vt.,play,play with someone or something
ilawe,ilawe,2,n.,NA,"munyeroo, pigweed, purslane"
ilayempilaye,ilayempilaye,NA,n.,NA,"ribbon grass, spear grass, goldenbeard grass"
ilayetye,Ilayetye,NA,n.,TR,place north-east of Thangkenharenge
ilek-ileke,ilek-ileke,NA,n.,spiky,"rough, splintery, spiky"
ilekarrenke,ilekarrenke,NA,vi.,NA,become frightened
ilekaynewene,ilekaynewene,NA,n.,NA,red-tailed black cockatoo
ileke,"Ileke, ileke",4,n.,NA,place on Dixon Creek north of Wauchope
ilel-aytenke,ilel-aytenke,3,vt.,NA,"pick up, go and get, fetch"
ilel-ilele,ilel-ilele,NA,n.,NA,hard
ilele,ilele,NA,n.,NA,"rock ledge, cave"
ilelkennge,ilelkennge,NA,n.,NA,"Sandover lily, desert lily"
ilelp-ilenke,ilelp-ilenke,2,vt.,NA,"swoop, pick up while going along; gather up and ta..."
ilelthe,ilelthe,2,n.,tea-leaves,"rubbish, used things"
ilenke,"ilenke |1, ilenke |2",6,vt.,NA,"take, get, fetch, pick up"
ilenpenye,ilenpenye,NA,n.,champion,"champion, talented; someone who is good at somethi..."
ilentye,ilentye,2,n.,NA,"sandhill canegrass, native oat grass"
ilenyenpe,"Ilenyenpe, ilenyenpe",2,n.,NA,waterhole near Redbank
ilenyey-aytnenke,ilenyey-aytnenke,NA,vt.,NA,go and collect things and come back lots of times
ilepere,ilepere,3,n.,NA,thigh
iler-aperinenke,iler-aperinenke,NA,vt.,NA,pick up things or people while going along
iler-ilerarrenke,iler-ilerarrenke,3,vi.,NA,shake lots of times; shake (plural)
iler-ilerewenke,iler-ilerewenke,2,vt.,NA,put a stick in the ground to check if water is dow...
ilerakwe,ilerakwe,NA,n.,NA,spectacled hare wallaby
ilerarenge,Ilerarenge,NA,n.,NA,place north-west of Barrow Creek
ileratyeyayne,Ileratyeyayne,NA,n.,NA,place near Barrow Creek.
ilerawarre,Ilerawarre,NA,n.,NA,place east of Artarre community
ilere,ilere,NA,n.,NA,bush stone-curlew
iletaylenke,iletaylenke,NA,vt.,NA,"renovate, 'make fresh'"
ilewelewel-arrenke,ilewelewel-arrenke,NA,vt.,follow in someone's footsteps,"follow someone else's footsteps, step in someone's..."
ilewelpe-wenke,ilewelpe-wenke,NA,vt.,follow in someone's footsteps,"follow someone else's footsteps, step in someone's..."
iley-enenke,iley-enenke,NA,vt.,NA,go and bring something back
iley-etnyenke,iley-etnyenke,NA,vt.,NA,"come up and take something away, come and get some..."
ileyarne,Ileyarne,NA,n.,NA,name of a country near Wauchope
ilke,"ilke |1, ilke |2, ilke |3",NA,n.,NA,hooked boomerang; number 7 boomerang
ilkelke,ilkelke,NA,n.,NA,"ankle, anklebone, heel"
ilkentye,ilkentye,2,n.,NA,"lots, gang, group of people"
ilkeraytnenke,ilkeraytnenke,NA,vt.,winnow,winnow seeds or fruit by dropping them onto a camp...
ilkere,ilkere,NA,n.,newborn baby,newborn baby
ilkerrty-ilkerrtye,ilkerrty-ilkerrtye,NA,n.,NA,lots of spit; frothing at the mouth
ilkerrtye,ilkerrtye,NA,n.,NA,"spit, sputum, saliva"
ilkerrtyenpe,ilkerrtyenpe,NA,n.,NA,"strong desire, want"
ilkwangkethe,ilkwangkethe,NA,n.,NA,company
ilkwe,ilkwe,NA,n.,NA,armpit
ilkwenke,ilkwenke,NA,vt.,wash down,drink something to wash something down your throat...
ilkwennge,ilkwennge,2,n.,NA,type of mouse
ilpakake,"ilpakake |1, ilpakake |2",NA,n.,NA,"good memory, clever, someone who understands thing..."
ilpakel-aytenke,ilpakel-aytenke,NA,vt.,NA,"run off with something, grab or steal something an..."
ilpakenke,ilpakenke,4,vt.,snatch,"snatch away, seize upon, grab something away from ..."
ilpalpenke,ilpalpenke,3,vi.,NA,"go back to where you know someone or something is,..."
ilpangapenke,ilpangapenke,2,vi.,check up on,go to where you know someone or something is
ilpangkenke,ilpangkenke,2,vi.,NA,talk about something from the past; talk about peo...
ilpanteyane,ilpanteyane,NA,vi.,NA,know a place really well
ilpanth-enwenke,ilpanth-enwenke,NA,vi.,NA,hang over the edge
ilpantharrenke,ilpantharrenke,NA,vi.,NA,"pant, tongue hanging out from thirst (of dogs and ..."
ilpapenke,ilpapenke,NA,vi.,check up on,go to where you know someone or something is; chec...
ilpaperinenke,ilpaperinenke,NA,vt.,take someone somewhere,take someone to a place that you know
ilparenge,ilparenge,NA,n.,NA,earrings
ilparlarrenke,ilparlarrenke,NA,vi.,NA,"learn, take notice, listen, heed"
ilparrenke,ilparrenke,3,vt.,show someone,show someone where something is
ilpartnpenke,ilpartnpenke,NA,vi.,NA,run to a place where you know something or someone...
ilpaytelhewenke,ilpaytelhewenke,2,vt.,NA,remind someone about something
ilpaytenke,ilpaytenke,NA,vi.,remember,"remember something, be reminded about something, r..."
ilpe,ilpe,2,n.,NA,ear
ilpelperrenge,ilpelperrenge,NA,n.,NA,"behind the ears, side of head"
ilpengke,ilpengke,NA,n.,NA,gidgee fuchsia bush
ilpenh-ilpenhe,ilpenh-ilpenhe,NA,n.,NA,hard place to find
ilpenkenye,ilpenkenye,NA,n.,NA,small intestines of kangaroo or bullock
ilpentye,ilpentye,2,n.,NA,traditional love songs and ceremonies
ilper-ilpere,ilper-ilpere,NA,n.,NA,someone who doesn't care about their family
ilperalkarenge,Ilperalkarenge,NA,n.,NA,"Sugarbag Bore, Airtrack Bore"
ilperalke,ilperalke,5,n.,sugarbag,"wild honey, sugarbag."
ilpere,ilpere,2,n.,NA,"hollow tree, log or branch"
ilperelengkwe,Ilperelengkwe,NA,n.,NA,a soakage on Taylor Creek
ilperengayerre,ilperengayerre,NA,n.,NA,sugarbag
ilperle,ilperle,NA,n.,NA,"paperbark, inland tea-tree, sandhill tea-tree"
ilperlperrnge,ilperlperrnge,NA,n.,NA,ears
ilperrnh-ilperrnhe,Ilperrnh-ilperrnhe,NA,n.,NA,Middle Dam. Place on Rtwerrpe country.
ilperte,ilperte,NA,n.,hip,"hip, waist, flank"
ilpertenye,ilpertenye,NA,n.,wedge-tailed eagle,wedge-tailed eagle
ilpertenye angketye,Ilpertenye angketye,NA,n.,NA,star constellation
ilpetnkenke,ilpetnkenke,NA,vt.,NA,"regain consciousness, be able to think, remember"
ilpetye,ilpetye,NA,n.,NA,"easy-going, someone who is happy to do what people..."
ilpewarlinenke,ilpewarlinenke,2,vt.,NA,know something and never forget it
ilpewe,ilpewe,NA,pv.,NA,Goes before some verbs to show that the action inv...
ilpilarrkwe,Ilpilarrkwe,NA,n.,NA,Limestone Bore.
ilpilenke,ilpilenke,NA,vt.,take out,"pull something out, take something out"
ilpilpakenke,ilpilpakenke,2,vt.,NA,"take, steal, seize, snatch things (plural)"
ilpwarrenke,ilpwarrenke,3,vi.,deflate,"go down, go flat, deflate"
ilpwe,ilpwe,2,n.,used up,"empty (of cocoon, bag or stomach)"
ilpwer-ilpwere,ilpwer-ilpwere,NA,n.,NA,"long pussy-tails, pussy-cat tails"
ilpwerartewene,ilpwerartewene,NA,n.,NA,axe
ilpwerr-ilpwerre,ilpwerr-ilpwerre,NA,n.,NA,"fontanelle, top part of the skull"
ilwekere,ilwekere,2,n.,poor thing,"poor fellow, poor thing, unfortunate one. Way of e..."
ilwel-ilwele,ilwel-ilwele,NA,n.,winding,"winding, crooked, curved, bendy"
ilwenke,ilwenke,4,n.,NA,hooked tool made from stick or grass. It is used t...
imarrenke,imarrenke,NA,vi.,NA,"die, pass away (used for animals)"
imaye,imaye,NA,n.,jealous,jealous
ime,ime,NA,n.,NA,"dead, corpse, lifeless, useless, paralysed"
imererre,imererre,NA,n.,NA,Milky Way
imew-imewe,imew-imewe,NA,pv.,NA,Shows that someone or something is hurt badly or n...
impakerte,impakerte,2,n.,exit hole,exit hole from burrow
impalkerte enwenke,impalkerte enwenke,NA,vi.,NA,lying on your back
impalthe,impalthe,NA,n.,NA,"side of something, such as the side of the river o..."
imparle,Imparle,NA,n.,NA,place on Rtwerrpe estate
impatye,impatye,NA,n.,NA,"points, marks, lines, drawings on the ground"
impen-impene,impen-impene,NA,n.,NA,greedy
impenarrenke,impenarrenke,NA,vi.,NA,"be greedy, hoard things"
impene,impene,2,n.,precious,"the only food or water available, such as the last..."
impimpe kwathenke,impimpe kwathenke,NA,vt.,NA,"sip, slurp, suck, lick"
inenke,inenke,NA,vt.,NA,put
inerre,inerre,NA,n.,NA,"thorny devil, mountain devil"
inewarre,inewarre,NA,n.,wispy cloud,thin white wispy clouds above the dark rain clouds...
ingke,ingke,2,n.,claw,"claw, nail, talon, hoof"
ingkerlengke,ingkerlengke,NA,n.,NA,itching and sore from scabies
ingwanenkerne,ingwanenkerne,NA,vi.,NA,get dark
ingwarrenke,ingwarrenke,NA,vi.,NA,"get dark, become night-time"
ingway-ingwaye,ingway-ingwaye,NA,n.,NA,"late afternoon, twilight, half-dark"
ingwe,"ingwe |1, ingwe |2",3,n.,darkness,"night, darkness, blackness"
ingwerarrey-ingwerarreye,ingwerarrey-ingwerarreye,NA,n.,NA,"twilight, late afternoon, half-light, half-dark"
intarenke,intarenke,NA,vt.,see someone go,watch someone or something go
inte,inte,NA,n.,nape,"nape, neck and shoulders area"
intelpe,intelpe,NA,n.,NA,hot red coals
intemaperte,intemaperte,3,adv.,for_good,"permanent, for good, always"
inteme,inteme,4,adv.,properly,"properly, intensely"
inteng-intenge,"inteng-intenge |1, inteng-intenge |2",4,n.,strong smelling plants,stink beetle
intenge,intenge,2,n.,NA,cooked food
interalwenke,interalwenke,NA,vt.,NA,"follow someone, follow someone's trail, track some..."
interrtye,interrtye,2,n.,NA,spark.
intety-intetye,intety-intetye,NA,n.,NA,sparks
intetyeng-intetye,intetyeng-intetye,NA,n.,NA,"spotted, patterned, piebald"
intwemele,intwemele,NA,n.,facing_away,"opposite way, facing away"
intwerelhaylenke,intwerelhaylenke,3,vt.,NA,"mix, change, swap, mix up, stir in"
intwerelhe,intwerelhe,2,n.,NA,"mixed, together"
