orthography,lx_entries,sn_max,ps_1,gl_1,de_1_50
arntap-arntap-eletnhenke,arntap-arntap-eletnhenke,NA,vt.,NA,hang something up in the sun to dry
arntap-arntape,arntap-arntape,NA,n.,NA,type of small mosquito
arntarntarenke,arntarntarenke,NA,vt.,watch over,"mind, look after, watch over"
arntarrkerte,arntarrkerte,NA,n.,NA,soakage that is damp but has no water
arntarrtyenke,arntarrtyenke,7,vt.,grab,"hold, grab"
arntatherrke,arntatherrke,2,n.,algae,"slime on water, algae which forms a mat on the wat..."
arntayle,arntayle,NA,n.,NA,pigeon-toed
arntek-arnteke,arntek-arnteke,NA,n.,NA,"dog-eye bush tomato, bony-fruited bush tomato"
arntengeye,arntengeye,4,kin.,NA,sister-in-law (of a woman); woman's brother's wife...
arntenke,arntenke,3,vi.,break,"break, snap, break off, fall off"
arntep-arntepe,arntep-arntepe,2,n.,NA,blue mulga.
arntepangkewene,Arntepangkewene,NA,n.,NA,Five Mile. Place south-east of <em>Ankweleyelengkw...
arntepe,arntepe,NA,n.,NA,common bronzewing
arntepe arntetye,Arntepe Arntetye,NA,n.,NA,place near Coulter's Camp
arntepetyarre,arntepetyarre,3,n.,NA,a type of mulga
arntetye,arntetye,NA,n.,sick,"sick, sick person"
arntewarnt-arntewarnte,arntewarnt-arntewarnte,NA,n.,NA,"separately, in turn, one-by-one"
arntewarnte,arntewarnte,2,n.,NA,"separate, apart"
arntewerrpere,arntewerrpere,2,n.,NA,grey butcherbird
arntine,arntine,NA,n.,NA,"hornet, wasp"
arntwarrenke,arntwarrenke,NA,vi.,NA,"melt, go watery or runny"
arntwatnewene,Arntwatnewene,NA,n.,NA,Blueblush Well. Place south of Alekarenge
arntwaylenke,arntwaylenke,2,vt.,make soft,"make something soft, wet and mushy"
arntwe,arntwe,4,n.,NA,water
arntwekweltherre,arntwekweltherre,NA,n.,NA,rainy season
arntweltepeltepe,arntweltepeltepe,NA,n.,NA,"blue dragonfly, blue skimmer"
arntwenginenke,arntwenginenke,NA,vt.,NA,soak certain fruits such as dried dogwood seeds <e...
arntwenpe,arntwenpe,NA,n.,moist,"soft, moist, sloppy, doughy, mushy, wet, juicy, so..."
arntwerr-arntwerre,arntwerr-arntwerre,NA,n.,NA,western end of ceremony ground in <em>apwelhe</em>...
arntwerretnhenhe,arntwerretnhenhe,NA,n.,NA,beard
arntwerrthe,arntwerrthe,NA,NA,NA,wood eaten out by termites
arnwekety-arnweketye,arnwekety-arnweketye,NA,n.,NA,orange-naped snake
arnweketye,arnweketye,2,n.,NA,conkerberry tree
arnwengkarrenke,arnwengkarrenke,NA,vt.,dig a soakage,dig a soakage
